"DateTime","Futures","Perpetuals"
"2024-02-11 08:20:00",2225124230.6,96254043115.29
"2024-02-11 20:55:00",2241380455.76,98530338474.33
"2024-02-12 09:30:00",2258659124.73,98095302893.87
"2024-02-12 22:05:00",2341437888.65,106143036967.81
"2024-02-13 10:40:00",2379376216.95,112862208480.24
"2024-02-13 23:15:00",2404859574.98,109403627072.98
"2024-02-14 11:50:00",2457539519.64,112583153419.05
"2024-02-15 00:25:00",2517493716,111148672502.3
"2024-02-15 13:00:00",2561484649.53,117214872384.56
"2024-02-16 01:35:00",2618231145.16,110748107490.69
"2024-02-16 14:10:00",2541236694.52,113852035257.55
"2024-02-17 02:45:00",2557511443.53,107906892365.95
"2024-02-17 15:20:00",2558756466.22,103062454260.78
"2024-02-18 03:55:00",2549261430.13,101829880154.76
"2024-02-18 16:30:00",2555519308.48,101152770450.43
"2024-02-19 05:05:00",2601482941.99,105537311617.04
"2024-02-19 17:40:00",2637356007.91,108869583542.39
"2024-02-20 06:15:00",2631789691.41,110506805314.06
"2024-02-20 18:50:00",2667221604.85,113989048797.81
"2024-02-21 07:25:00",2702936244.41,115850102063.61
"2024-02-21 20:00:00",2733533080.34,113794506738.52
"2024-02-22 08:35:00",2776613144.07,112287380420.07
"2024-02-22 21:10:00",2813087758.79,110776362808.25
"2024-02-23 09:45:00",2813077459.93,111205274641.8
"2024-02-23 22:20:00",2272433887.02,111202669030.53
"2024-02-24 10:55:00",2487574298.19,112061695382.25
"2024-02-24 23:30:00",2484180498.26,106978417221.11
"2024-02-25 12:05:00",2503943007.73,105479717926.45
"2024-02-26 00:40:00",2529289213.64,110894528704.13
"2024-02-26 13:15:00",3152347253.9,112795785585.13
"2024-02-27 01:50:00",2945648444.98,135443597726.85
"2024-02-27 14:25:00",2795021632.02,128523619680.15
"2024-02-28 03:00:00",2810934414.01,122803263551.76
"2024-02-28 15:35:00",2921900314.46,125348489324.12
"2024-02-29 04:10:00",2988480150.23,154695293787.13
"2024-02-29 16:45:00",3060640661.86,151185254034.25
"2024-03-01 05:20:00",3052462883.38,138365145224.51
"2024-03-01 17:55:00",2974264490.19,137177397605.9
"2024-03-02 06:30:00",3013618859.58,136240127645.86
"2024-03-02 19:05:00",3028514026.02,134253773534.41
"2024-03-03 07:40:00",3065870305.14,130112516693.9
"2024-03-03 20:15:00",3163864342.96,131449437366.35
"2024-03-04 08:50:00",3290837561.96,158347093292.66
"2024-03-04 21:25:00",3749639179.21,169067807484.47
"2024-03-05 10:00:00",3930829617.8,176451765885
"2024-03-05 22:35:00",3922540576.2,198292094173.23
"2024-03-06 11:10:00",4129722443.78,214751604571.4
"2024-03-06 23:45:00",4165537441.16,190940008686.44
"2024-03-07 12:20:00",4170761643.61,181864907097.41
"2024-03-08 00:55:00",4298182839.85,174675116859.49
"2024-03-08 13:30:00",4113770710.42,175085033269.1
"2024-03-09 02:05:00",4220923062.15,190976527592.24
"2024-03-09 14:40:00",4268551764.4,187638084457.12
"2024-03-10 03:15:00",4302811704.53,164810493792.51
"2024-03-10 15:50:00",4349395398.3,168685286996.55
"2024-03-11 04:25:00",4365840204.56,176318268175.96
"2024-03-11 17:00:00",4618428952.42,197188360777.54
"2024-03-12 05:35:00",4641058205.25,194215609164.37
"2024-03-12 18:10:00",4673074490.21,190643731649.72
"2024-03-13 06:45:00",4713015553.93,203661457733.42
"2024-03-13 19:20:00",4798614796.33,197698295648.69
"2024-03-14 07:55:00",4804542954.47,194702893031.35
"2024-03-14 20:30:00",4802240794.81,202013116923.28
"2024-03-15 09:05:00",4792489915.18,233267200706.4
"2024-03-15 21:40:00",4870726745.78,234431135832.14
"2024-03-16 10:15:00",4889685117.12,209477852103.58
"2024-03-16 22:50:00",4817354105.79,179732103103.44
"2024-03-17 11:25:00",4804066879.14,191210083135.59
"2024-03-18 00:00:00",4866338282.35,186829036259.4
"2024-03-18 12:35:00",4864915498.45,175984022563.87
"2024-03-19 01:10:00",4846183280.3,172067391451.48
"2024-03-19 13:45:00",4691917506.9,174558413971.31
"2024-03-20 02:20:00",4724917100.6,179746007138.08
"2024-03-20 14:55:00",4742935019.84,177666041635.52
"2024-03-21 03:30:00",4876858448.91,186156116191.88
"2024-03-21 16:05:00",4858536531.77,177260618134.08
"2024-03-22 04:40:00",4878613703.54,163797731937.14
"2024-03-22 17:15:00",4748546883.79,162703548384.89
"2024-03-23 05:50:00",4763588633.9,162424549554.18
"2024-03-23 18:25:00",4788450051.12,160216576055.19
"2024-03-24 07:00:00",4741288264.73,152632671521.52
"2024-03-24 19:35:00",4760645924.8,152128438483.24
"2024-03-25 08:10:00",4813604658.34,164447725029.6
"2024-03-25 20:45:00",4956453046.41,175883603165.68
