Date,ADA
07/27/2023,0.307525
07/28/2023,0.310201
07/29/2023,0.312765
07/30/2023,0.315633
07/31/2023,0.307488
08/01/2023,0.309951
08/02/2023,0.299389
08/03/2023,0.292576
08/04/2023,0.293388
08/05/2023,0.293629
08/06/2023,0.292082
08/07/2023,0.290296
08/08/2023,0.297745
08/09/2023,0.30114
08/10/2023,0.29613
08/11/2023,0.29345
08/12/2023,0.291837
08/13/2023,0.289531
08/14/2023,0.290611
08/15/2023,0.281817
08/16/2023,0.274532
08/17/2023,0.255958
08/18/2023,0.263892
08/19/2023,0.268378
08/20/2023,0.270709
08/21/2023,0.263179
08/22/2023,0.258366
08/23/2023,0.267965
08/24/2023,0.265884
08/25/2023,0.26108
08/26/2023,0.260953
08/27/2023,0.263446
08/28/2023,0.267434
08/29/2023,0.272449
08/30/2023,0.265654
08/31/2023,0.255373
09/01/2023,0.255185
09/02/2023,0.25623
09/03/2023,0.255793
09/04/2023,0.256146
09/05/2023,0.257614
09/06/2023,0.257667
09/07/2023,0.25772
09/08/2023,0.25437
09/09/2023,0.253492
09/10/2023,0.249052
09/11/2023,0.241873
09/12/2023,0.24587
09/13/2023,0.248884
09/14/2023,0.251181
09/15/2023,0.250643
09/16/2023,0.250436
09/17/2023,0.247316
09/18/2023,0.251743
09/19/2023,0.25526
09/20/2023,0.25163
09/21/2023,0.245455
09/22/2023,0.244922
09/23/2023,0.246133
09/24/2023,0.243026
09/25/2023,0.245881
09/26/2023,0.245395
09/27/2023,0.244791
09/28/2023,0.24912
09/29/2023,0.249536
09/30/2023,0.254047
10/01/2023,0.265895
10/02/2023,0.259513
10/03/2023,0.261028
10/04/2023,0.259315
10/05/2023,0.260149
10/06/2023,0.264872
10/07/2023,0.258735
10/08/2023,0.256629
10/09/2023,0.251642
10/10/2023,0.249141
10/11/2023,0.248001
10/12/2023,0.245922
10/13/2023,0.246146
10/14/2023,0.247011
10/15/2023,0.247356
10/16/2023,0.251563
10/17/2023,0.247115
10/18/2023,0.243453
10/19/2023,0.246923
10/20/2023,0.251138
10/21/2023,0.258585
10/22/2023,0.263573
10/23/2023,0.279954
10/24/2023,0.278993
10/25/2023,0.280556
10/26/2023,0.287292
10/27/2023,0.289468
10/28/2023,0.29125
10/29/2023,0.295283
10/30/2023,0.302734
10/31/2023,0.293107
11/01/2023,0.307459
11/02/2023,0.323142
11/03/2023,0.329021
11/04/2023,0.328542
11/05/2023,0.34287
11/06/2023,0.363408
11/07/2023,0.351571
11/08/2023,0.35835
11/09/2023,0.368335
11/10/2023,0.38621
11/11/2023,0.384564
11/12/2023,0.383383
11/13/2023,0.358415
11/14/2023,0.35787
11/15/2023,0.379292
11/16/2023,0.371766
11/17/2023,0.366609
11/18/2023,0.377694
11/19/2023,0.384525
11/20/2023,0.380682
11/21/2023,0.358631
11/22/2023,0.38066
11/23/2023,0.386675
11/24/2023,0.386213
11/25/2023,0.394811
11/26/2023,0.388185
11/27/2023,0.378359
11/28/2023,0.385624
11/29/2023,0.381776
11/30/2023,0.375895
12/01/2023,0.384202
12/02/2023,0.397798
12/03/2023,0.395155
12/04/2023,0.406811
12/05/2023,0.425658
12/06/2023,0.442406
12/07/2023,0.456432
12/08/2023,0.545921
12/09/2023,0.5786
12/10/2023,0.594155
12/11/2023,0.551021
12/12/2023,0.576407
12/13/2023,0.665244
12/14/2023,0.643478
12/15/2023,0.601408
12/16/2023,0.607609
12/17/2023,0.580314
12/18/2023,0.601033
12/19/2023,0.5766
12/20/2023,0.589329
12/21/2023,0.636599
12/22/2023,0.624216
12/23/2023,0.614548
12/24/2023,0.593955
12/25/2023,0.625721
12/26/2023,0.608799
12/27/2023,0.633535
12/28/2023,0.617422
12/29/2023,0.608494
12/30/2023,0.601964
12/31/2023,0.594205
01/01/2024,0.62311
01/02/2024,0.605667
01/03/2024,0.557286
01/04/2024,0.570567
01/05/2024,0.541242
01/06/2024,0.523103
01/07/2024,0.494174
01/08/2024,0.540936
01/09/2024,0.511527
01/10/2024,0.566647
01/11/2024,0.582179
01/12/2024,0.547333
01/13/2024,0.549336
01/14/2024,0.525981
01/15/2024,0.528161
01/16/2024,0.535676
01/17/2024,0.527029
01/18/2024,0.501874
01/19/2024,0.503151
01/20/2024,0.515005
01/21/2024,0.503105
01/22/2024,0.478502
01/23/2024,0.476749
01/24/2024,0.476296
01/25/2024,0.466479
01/26/2024,0.485294
01/27/2024,0.486321
01/28/2024,0.489719
01/29/2024,0.525275
01/30/2024,0.514165
01/31/2024,0.498256
02/01/2024,0.507023
02/02/2024,0.513958
02/03/2024,0.512861
02/04/2024,0.494256
02/05/2024,0.49334
02/06/2024,0.498463
02/07/2024,0.501773
02/08/2024,0.529269
02/09/2024,0.540792
02/10/2024,0.551412
02/11/2024,0.54141
02/12/2024,0.560031
02/13/2024,0.544996
02/14/2024,0.577302
02/15/2024,0.608363
02/16/2024,0.598872
02/17/2024,0.608346
02/18/2024,0.618734
02/19/2024,0.631063
02/20/2024,0.622165
02/21/2024,0.598458
02/22/2024,0.585902
02/23/2024,0.583242
02/24/2024,0.596696
02/25/2024,0.591379
02/26/2024,0.619736
02/27/2024,0.624216
02/28/2024,0.631059
02/29/2024,0.655646
03/01/2024,0.719081
03/02/2024,0.740928
03/03/2024,0.728238
03/04/2024,0.771294
03/05/2024,0.69349
03/06/2024,0.733821
03/07/2024,0.744742
03/08/2024,0.724854
03/09/2024,0.743713
03/10/2024,0.717227
03/11/2024,0.77419
03/12/2024,0.748055
03/13/2024,0.76458
03/14/2024,0.750474
03/15/2024,0.726441
03/16/2024,0.659535
03/17/2024,0.681099
03/18/2024,0.661258
03/19/2024,0.586914
03/20/2024,0.639481
03/21/2024,0.631868
03/22/2024,0.613263
03/23/2024,0.625862
03/24/2024,0.646157
03/25/2024,0.656949
03/26/2024,0.665034
03/27/2024,0.648483
03/28/2024,0.650794
03/29/2024,0.664403
03/30/2024,0.644366
03/31/2024,0.650427
04/01/2024,0.621684
04/02/2024,0.580987
04/03/2024,0.571278
04/04/2024,0.582955
04/05/2024,0.574834
04/06/2024,0.584338
04/07/2024,0.589474
04/08/2024,0.614159
04/09/2024,0.591893
04/10/2024,0.586255
04/11/2024,0.586191
04/12/2024,0.503575
04/13/2024,0.447908
04/14/2024,0.468911
04/15/2024,0.460795
04/16/2024,0.458605
04/17/2024,0.444295
04/18/2024,0.458144
04/19/2024,0.468784
04/20/2024,0.505908
04/21/2024,0.499292
