Date,ADA,WMT
04/17/2023,0.434167,0.1779216366
04/18/2023,0.443752,0.177057048
04/19/2023,0.415793,0.1715146125
04/20/2023,0.400731,0.1659427071
04/21/2023,0.382939,0.1606812044
04/22/2023,0.396153,0.1607588874
04/23/2023,0.389,0.1566114
04/24/2023,0.383916,0.153758358
04/25/2023,0.394919,0.1550451994
04/26/2023,0.401498,0.157788714
04/27/2023,0.409843,0.1558632929
04/28/2023,0.404932,0.1507561836
04/29/2023,0.402784,0.144599456
04/30/2023,0.397354,0.136491099
05/01/2023,0.386857,0.1466961744
05/02/2023,0.391773,0.1490304492
05/03/2023,0.393942,0.1500525078
05/04/2023,0.387448,0.1521895744
05/05/2023,0.394684,0.152348024
05/06/2023,0.380119,0.1541002426
05/07/2023,0.376906,0.1506116376
05/08/2023,0.365828,0.1453800472
05/09/2023,0.363806,0.1436306088
05/10/2023,0.369937,0.1423517576
05/11/2023,0.360039,0.1394431047
05/12/2023,0.370463,0.1414427734
05/13/2023,0.365031,0.1382737428
05/14/2023,0.370761,0.1392578316
05/15/2023,0.367482,0.1365563112
05/16/2023,0.36783,0.135140742
05/17/2023,0.375425,0.13470249
05/18/2023,0.372078,0.1340224956
05/19/2023,0.368215,0.13182097
05/20/2023,0.366357,0.131522163
05/21/2023,0.360363,0.1312081683
05/22/2023,0.367997,0.130638935
05/23/2023,0.370484,0.1327073688
05/24/2023,0.364234,0.1330546802
05/25/2023,0.358416,0.1311444144
05/26/2023,0.362884,0.1299487604
05/27/2023,0.366774,0.1313417694
05/28/2023,0.382999,0.1331304524
05/29/2023,0.379138,0.1314471446
05/30/2023,0.377934,0.1343933304
05/31/2023,0.374403,0.1352718039
06/01/2023,0.364724,0.1339266528
06/02/2023,0.378304,0.141485696
06/03/2023,0.376028,0.1496967468
06/04/2023,0.377693,0.1520969711
06/05/2023,0.352015,0.1405595895
06/06/2023,0.353715,0.145589094
06/07/2023,0.322278,0.1354534434
06/08/2023,0.323157,0.1364045697
06/09/2023,0.295401,0.1263430077
06/10/2023,0.276194,0.1169129202
06/11/2023,0.27263,0.110605991
06/12/2023,0.275048,0.1104042672
06/13/2023,0.274986,0.1104343776
06/14/2023,0.263226,0.1076857566
06/15/2023,0.261957,0.1051757355
06/16/2023,0.263185,0.1060372365
06/17/2023,0.266928,0.1050094752
06/18/2023,0.260963,0.1035762147
06/19/2023,0.263048,0.1024835008
06/20/2023,0.270329,0.1029412832
06/21/2023,0.287,0.1080268
06/22/2023,0.290313,0.1113640668
06/23/2023,0.296482,0.1166063706
06/24/2023,0.290012,0.1150767616
06/25/2023,0.292325,0.1168423025
06/26/2023,0.280354,0.1113285734
06/27/2023,0.28652,0.111341672
06/28/2023,0.267169,0.1035012706
06/29/2023,0.275564,0.1049623276
06/30/2023,0.286956,0.11119545
07/01/2023,0.29234,0.114538812
07/02/2023,0.292055,0.1135801895
07/03/2023,0.296311,0.1151464546
07/04/2023,0.292615,0.1137979735
07/05/2023,0.284471,0.1084972394
07/06/2023,0.2797,0.10625803
07/07/2023,0.284525,0.107607355
07/08/2023,0.290651,0.1071920888
07/09/2023,0.284591,0.1065224113
07/10/2023,0.287991,0.1067870628
07/11/2023,0.292818,0.1082255328
07/12/2023,0.288758,0.1086018838
07/13/2023,0.357658,0.1470332038
07/14/2023,0.328801,0.1413515499
07/15/2023,0.326365,0.1412834085
07/16/2023,0.314884,0.1342665376
07/17/2023,0.312489,0.129370446
07/18/2023,0.307399,0.1231440394
07/19/2023,0.323513,0.1232261017
07/20/2023,0.316093,0.1201785586
07/21/2023,0.313292,0.1255047752
07/22/2023,0.309772,0.1255815688
07/23/2023,0.317163,0.1285778802
07/24/2023,0.305309,0.1242302321
07/25/2023,0.304017,0.1234005003
07/26/2023,0.306641,0.1244042537
07/27/2023,0.307525,0.12288699
07/28/2023,0.310201,0.1233359176
07/29/2023,0.312765,0.123417069
07/30/2023,0.315633,0.1216449582
07/31/2023,0.307488,0.118690368
08/01/2023,0.309951,0.118711233
08/02/2023,0.299389,0.1132289198
08/03/2023,0.292576,0.1146605344
08/04/2023,0.293388,0.1244551896
08/05/2023,0.293629,0.1289324939
08/06/2023,0.292082,0.1363730858
08/07/2023,0.290296,0.1352198768
08/08/2023,0.297745,0.143691737
08/09/2023,0.30114,0.13777155
08/10/2023,0.29613,0.135953283
08/11/2023,0.29345,0.13351975
